run,gen,alpha,mu,vol
1,8,666.719051,30.412,833.2593898551025
1,8,732.622265,31.274,890.0453627264941
1,8,764.362073,31.382,915.3409991606638
1,8,900.273423,29.384,1093.4228462772987
1,8,585.602935,9.308,713.7008859138283
1,8,704.948398,33.843,841.5060420940406
1,8,926.903992,20.835,1062.012537559302
1,8,911.606127,20.284,1040.3916128828148
1,8,1097.618165,19.12,1282.5524568660926
1,8,624.609861,31.192,741.9933188313927
1,8,844.389273,13.222,1019.1858384743244
1,8,700.840724,18.666,862.9440853476641
1,8,965.907228,38.06,1164.4991340808072
1,8,731.56652,11.228,840.0924474658926
1,8,737.398723,44.85,888.6677900656193
1,8,805.044962,24.994,953.7005965406622
1,8,799.397868,26.548,967.1995039004478
1,8,979.369325,21.564,1127.4355120213813
1,8,783.673957,29.249,934.4311173923904
1,9,737.398723,44.85,888.6677900656193
1,9,601.637249,38.141,750.3185132839751
1,9,645.659148,38.572,767.6933964237863
1,9,642.957768,35.872,763.4411859923753
1,9,1057.650232,43.59,1234.938737853682
1,9,637.390316,32.753,754.5443020535763
1,9,704.948398,33.843,841.5060420940406
1,9,1102.839532,41.455,1269.6723868242582
1,9,689.000676,33.178,834.446100498907
1,9,624.609861,31.192,741.9933188313927
1,9,1057.280331,39.916,1234.657334372902
1,9,965.907228,38.06,1164.4991340808072
1,9,1011.598467,37.83,1199.130403846773
1,9,686.127765,31.313,825.1288926472652
1,9,620.547256,29.607,742.4765394151193
1,9,685.279259,30.563,816.864163854205
1,9,717.778458,43.113,872.1977216299954
1,9,690.166806,33.882,829.2161681078938
1,9,737.592604,31.777,924.6197349230779
1,9,920.405449,34.064,1129.702151386926
1,9,650.121977,8.608,786.0443196661026
1,9,617.527325,21.587,758.5193262057549
1,9,775.485014,27.757,967.9891449500266
1,9,754.176663,25.373,876.09070908476
1,9,808.890068,24.286,1026.7147630273926
1,9,505.974076,16.931,608.458942214365
1,9,732.2678,25.762,901.3152155569586
1,9,616.509682,28.234,743.0729167494446
1,9,583.540828,24.951,745.8589688815456
1,9,714.461154,4.041,871.110781528568
1,9,772.871803,23.062,932.8263524818011
1,9,1194.070891,16.583,1339.4462551671934
1,10,737.398723,44.85,888.6677900656193
1,10,717.778458,43.113,872.1977216299954
1,10,601.637249,38.141,750.3185132839751
1,10,645.659148,38.572,767.6933964237863
1,10,642.957768,35.872,763.4411859923753
1,10,1057.650232,43.59,1234.938737853682
1,10,637.390316,32.753,754.5443020535763
1,10,690.166806,33.882,829.2161681078938
1,10,704.948398,33.843,841.5060420940406
1,10,1102.839532,41.455,1269.6723868242582
1,10,689.000676,33.178,834.446100498907
1,10,624.609861,31.192,741.9933188313927
1,10,1057.280331,39.916,1234.657334372902
1,10,965.907228,38.06,1164.4991340808072
1,10,1011.598467,37.83,1199.130403846773
1,10,686.127765,31.313,825.1288926472652
1,10,768.502157,41.403,935.9251320215801
1,10,651.566751,24.688,797.6259224258139
1,10,634.033635,34.908,743.2637089474138
1,10,932.976036,19.067,1195.573179235291
1,10,1194.129987,16.445,1339.6001285372397
1,10,689.217156,36.686,826.1707187393198
1,10,1072.537385,13.449,1266.1742872570512
1,10,575.557889,17.975,736.0993142144204
1,10,1057.273971,36.057,1234.361369190767
1,10,576.57949,21.581,738.9904492715234
1,10,633.786099,35.189,767.3951203889949
1,10,859.918123,40.336,1054.6003956214033
